h3_cell,location_name,lat,lon,top_violation_details
8861892cdbfffff,"RT Nagar Main Road, Amale Layout, RT Nagar",13.017356144791668,77.59265214479166,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892cddfffff,"Dr BR Ambedkar College Road, SH Layout, Kaval Baira Sandra",13.02341916,77.60917686,WRONG PARKING (112)
8861892ce1fffff,"Manyata Residency Road, Manayata Residency, Nagavara",13.055241408333332,77.62340791666666,NO PARKING (113) | PARKING IN A MAIN ROAD (107) | WRONG PARKING (112)
8861892ce3fffff,"Manyata Residency Road, Manayata Residency, Nagavara",13.053705149999999,77.6211441,NO PARKING (113)
8861892ce5fffff,"7th Cross Road, Ajanadhari Layout, Thanisandra",13.059379400000001,77.628702475,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892ce9fffff,"Thanisandra Main Road, Aswath Nagar Circle, Thanisandra",13.047597679999997,77.62853410099999,NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892cebfffff,"MBT Road, SLV Spring Field Apartment, MSR North City",13.04139135,77.62158605,NO PARKING (113) | WRONG PARKING (112)
8861892cedfffff,"Thanisandra Main Road, Aswath Nagar Circle, Thanisandra",13.053316964,77.631535432,NO PARKING (113)
8861892d81fffff,"4th Main Road, Brigade Northridge, Thirumenahalli North Taluka",13.1003213,77.6316592,NO PARKING (113)
8861892d87fffff,"Kogilu Main Road, Brigade Northridge, Thirumenahalli North Taluka",13.102264300000002,77.63160355,NO PARKING (113)
8861892d89fffff,"Thanisandra Main Road, Orchid Salisbury, Thirumenahalli North Taluka",13.090880533333333,77.63562593333334,NO PARKING (113)
8861892da3fffff,"Bellahali Main Road, Niranthara Layout, Dwarka Nagar",13.121558011090908,77.63107680613635,NO PARKING (113) | PARKING IN A MAIN ROAD (107) | WRONG PARKING (112)
8861892dabfffff,"SH 104, Kattigenahalli, Bengaluru",13.1144957,77.6341878,PARKING IN A MAIN ROAD (107) | NO PARKING (113)
8861892db3fffff,"Bellary Road, North Gate Office Park Phase 2, Yelahanka",13.115233600000002,77.60696394166666,WRONG PARKING (112)
8861892db5fffff,"Bagaluru Main Road, KVSR Layout, Kattigenahalli",13.12157392394366,77.62150402112675,WRONG PARKING (112) | DEFECTIVE NUMBER PLATE (116) | PARKING IN A MAIN ROAD (107)
8861892db7fffff,"Bellary Road, Sattva Horizon, Vinayak Nagar",13.121283941447368,77.61248495263159,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892dbbfffff,"Kogilu Main Road, Gowdara Ramaiah Layout, Srinivasapur",13.104051049999999,77.61421225000001,WRONG PARKING (112)
8861892dc3fffff,"Munninarasimha Road, Prisha Orchids, Chokkanahalli",13.0835005,77.6385539,WRONG PARKING (112)
8861892dc9fffff,"Hennur Main Road, True North by Livingwalls, Kuvempu Layout",13.0736507,77.6516437,NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892dd1fffff,"Thanisandra Main Road, Subdivision Quarters, Sri Balaji Krupa Layout",13.07435744,77.63366524,NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892dd5fffff,"Munninarasimha Road, Prisha Orchids, Chokkanahalli",13.084000325806452,77.63652524838709,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892dd9fffff,"Thanisandra Main Road, Ex Serviceman Layout, Hegde Nagar",13.071231223157893,77.63365049368421,NO PARKING (113) | PARKING IN A MAIN ROAD (107) | WRONG PARKING (112)
8861892ddbfffff,"80 Feet Road, Shirdi Sai Rathan Layout, Hegde Nagar",13.06858340526316,77.62715238815791,NO PARKING (113) | PARKING IN A MAIN ROAD (107) | WRONG PARKING (112)
8861892dddfffff,"1st Main Road, Ex Serviceman Layout, Hegde Nagar",13.0720611,77.6377072,NO PARKING (113)
8861892e01fffff,"Whitefield Road, VR Mall, Dyavasandra Industrial Estate Phase 2",12.995710862076209,77.69417266313349,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892e03fffff,"MN Krishnarao Road, Mahadevapura, Bengaluru",12.991993019842123,77.68650963463725,WRONG PARKING (112) | NO PARKING (113) | PARKING ON FOOTPATH (105)
8861892e05fffff,"4th Cross Road, Singayyanapalya, Mahadevapura",12.998306470909093,77.6930531690909,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892e07fffff,"Whitefield Road, Indian Oil Campus, Mahadevapura",12.999175315328468,77.68777148394162,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892e09fffff,"MN Krishnarao Road, Bagmane World Technology Center, Mahadevapura",12.983273907296907,77.69288848,WRONG PARKING (112) | NO PARKING (113) | PARKING NEAR ROAD CROSSING (104)
8861892e0bfffff,"MN Krishnarao Road, Shivaganga Layout Phase 1, Mahadevapura",12.987635315209342,77.68958309311179,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
